Stacja pomiarowa;Czerniawa;Działoszyn;Dzierżoniów - Piłsudskiego;Głogów - Wita Stwosza;Jelenia Góra - Ogińskiego
Zanieczyszczenie;ozon;pył zawieszony PM10;pył zawieszony PM10;pył zawieszony PM10;ozon
Jednostka;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3
ulica;;;DPiłsudskiego;Wita Stwosza;Ogińskiego
2020-10-26 01:00; 	59.7	; 	16.4	; 	7.7	; ; 	42.6	;
2020-10-26 02:00; 	60.1	; 	11.3	; 	5.8	; ; 	36.9	;
2020-10-26 03:00; 	64.2	; 	18.2	; 	4.9	; ; 	33.7	;
2020-10-26 04:00; 	67.0	; 	7.2	; 	3.8	; ; 	42.8	;
2020-10-26 05:00; 	58.8	; 	11.6	; 	9.0	; ; 	43.4	;
2020-10-26 06:00; ; 	8.9	; 	10.3	;
2020-10-26 07:00; 	58.3	; 	11.2	; 	19.6	; ; 	43.6	;
2020-10-26 08:00; 	58.0	; 	8.9	; 	18.8	; ; 	47.1	;
2020-10-26 09:00; 	54.7	; 	8.1	; 	17.6	; ; 	52.8	;
2020-10-26 10:00; 	53.8	; 	6.6	; 	13.4	;
2020-10-26 11:00; 	56.1	; 	6.5	; 	9.8	; ; 	54.0	;
2020-10-26 12:00; 	57.7	; 	6.2	; 	10.1	; ; 	55.3	;
2020-10-26 13:00; 	55.2	; 	9.8	; 	8.9	; ; 	55.1	;
2020-10-26 14:00; 	55.3	; 	8.4	; 	6.9	; ; 	55.0	;
2020-10-26 15:00; 	51.6	; 	13.5	; 	15.1	; ; 	51.7	;
2020-10-26 16:00; 	47.6	; 	12.5	; 	19.9	; ; 	44.2	;
2020-10-26 17:00; 	44.3	; 	20.2	; 	33.6	; ; 	34.3	;
2020-10-26 18:00; 	46.0	; 	32.2	; 	35.8	; ; 	20.4	;
2020-10-26 19:00; 	42.4	; 	36.3	; 	21.7	; ; 	5.3	;
2020-10-26 20:00; 	40.1	; 	17.9	; 	32.0	; ; 	3.1	;
2020-10-26 21:00; 	43.8	; 	4.3	; 	16.7	; ; 	25.2	;
2020-10-26 22:00; 	55.2	; 	3.1	; 	15.0	; ; 	31.6	;
2020-10-26 23:00; 	62.1	; 	8.3	; 	28.6	; ; 	55.3	;
2020-10-27 00:00; 	63.5	; 	11.5	; 	15.4	; 	20.0	; 	58.8	;
2020-10-27 01:00; 	55.2	; 	7.9	; 	25.0	; ; 	53.2	;
2020-10-27 02:00; 	50.8	; 	19.4	; 	10.9	; ; 	50.3	;
2020-10-27 03:00; 	53.0	; 	14.5	; 	8.9	; ; 	53.2	;
2020-10-27 04:00; 	57.5	; 	20.2	; 	6.3	; ; 	42.4	;
2020-10-27 05:00; 	59.3	; 	28.7	; 	9.3	; ; 	41.2	;
2020-10-27 06:00; 	59.9	; 	17.1	; 	8.2	; ; 	34.0	;
2020-10-27 07:00; 	58.7	; 	15.0	; 	8.4	; ; 	25.3	;
2020-10-27 08:00; 	61.3	; 	21.6	; 	5.0	; ; 	26.2	;
